Erp Item Code,Item Id,Item Description,Location Id,Qty On Hand,Qty Reserved,Qty Available,Unit Of Measure,Par Level,Reorder Point,Reorder Required,Supplier Id,Estimated Stock Value Gbp
DIS-769275,INV-DISP-ARTHROSCOPY_SHAVER_BLADE_5_5MM, Arthroscopy Shaver Blade 5.5mm ,LOC-STOCK-04, 120 ,3,117,box, 79 , 20 ,N,SUP-DEPUY,"GBP 17,054.40"
 DIS-769275 ,INV-DISP-ARTHROSCOPY_SHAVER_BLADE_5_5MM,Arthroscopy Shaver Blade 5.5mm,LOC-STOCK-05,130,5, 125 ,box,14, 4 ,N,SUP-DEPUY,"GBP 9,016.80"
DIS-643995,INV-DISP-CEMENT_DELIVERY_GUN_NOZZLE,Cement Delivery Gun Nozzle,LOC-STOCK-01,74, 2 ,72,pack,116,45,N,SUP-STRYKER,"GBP 4,015.98"
DIS-335163,INV-DISP-CEMENT_MIXING_CARTRIDGE, Cement Mixing Cartridge ,LOC-STOCK-03,31,4,27,pack,195, 76 ,Y,SUP-STRYKER,"GBP 7,779.76"
DIS-886087,INV-DISP-DISPOSABLE_BURR_3_5MM,Disposable Burr 3.5mm,LOC-STOCK-01, 48 , 2 , 46 ,each,148,46,Y,SUP-STRYKER,"GBP 3,067.68"
 DIS-886087 ,INV-DISP-DISPOSABLE_BURR_3_5MM,Disposable Burr 3.5mm,LOC-STOCK-03,146,2,144, each ,76,29,No,SUP-STRYKER,"GBP 12,977.94"
DIS-159881,INV-DISP-DISPOSABLE_BURR_4_0MM,Disposable Burr 4.0mm,LOC-STOCK-02, 370 ,5, 365 ,each,98,43,No, SUP-DEPUY ,"GBP 3,344.80"
DIS-159881,INV-DISP-DISPOSABLE_BURR_4_0MM,Disposable Burr 4.0mm,LOC-STOCK-03,37,3,34,each,148,40,Yes,SUP-DEPUY,"GBP 5,035.70"
DIS-699199,INV-DISP-DISPOSABLE_CANNULA_SET,Disposable Cannula Set,LOC-STOCK-03,65,0,65, each ,89,28,N, SUP-SN ,"GBP 3,192.15"
DIS-699199,INV-DISP-DISPOSABLE_CANNULA_SET,Disposable Cannula Set,LOC-STOCK-04, 291 ,5, 286 ,each,136,60,No, SUP-SN ,"GBP 20,335.08"
 DIS-587999 ,INV-DISP-DISPOSABLE_DRILL_BIT_2_0MM, Disposable Drill Bit 2.0mm ,LOC-STOCK-05, 140 ,4,136,box,64,24,No,SUP-SN,"GBP 6,735.40"
DIS-235744,INV-DISP-DISPOSABLE_DRILL_BIT_2_5MM,Disposable Drill Bit 2.5mm,LOC-STOCK-01, 40 ,0, 40 ,each, 100 ,39,N,SUP-DEPUY,"GBP 11,072.40"
DIS-235744,INV-DISP-DISPOSABLE_DRILL_BIT_2_5MM,Disposable Drill Bit 2.5mm,LOC-STOCK-03,160,5, 155 ,each, 128 ,55,No,SUP-DEPUY,"GBP 41,065.60"
 DIS-170918 ,INV-DISP-DISPOSABLE_DRILL_BIT_3_2MM,Disposable Drill Bit 3.2mm,LOC-STOCK-03,91, 3 ,88, box ,135,36,N,SUP-DEPUY,"GBP 23,429.77"
DIS-170918,INV-DISP-DISPOSABLE_DRILL_BIT_3_2MM,Disposable Drill Bit 3.2mm,LOC-STOCK-01,148,1,147,box,34,12,No,SUP-DEPUY,"GBP 7,149.88"
DIS-170918,INV-DISP-DISPOSABLE_DRILL_BIT_3_2MM, Disposable Drill Bit 3.2mm ,LOC-STOCK-05,132,3,129, box ,45,14,N,SUP-DEPUY,"GBP 2,401.08"
DIS-863026,INV-DISP-DISPOSABLE_DRILL_BIT_4_5MM,Disposable Drill Bit 4.5mm,LOC-STOCK-01,213,4,209, pack , 113 ,31,N,SUP-SN,"GBP 41,709.66"
DIS-297425,INV-DISP-DISPOSABLE_FEMORAL_CANAL_BRUSH,Disposable Femoral Canal Brush,LOC-STOCK-04,84,2,82, box , 32 ,12,No,SUP-ARTHREX,"GBP 6,827.52"
 DIS-978257 ,INV-DISP-DISPOSABLE_REAMER_LARGE,Disposable Reamer – Large,LOC-STOCK-04, 249 ,8,241,each, 96 , 32 ,No,SUP-STRYKER,"GBP 60,726.12"
DIS-978257,INV-DISP-DISPOSABLE_REAMER_LARGE,Disposable Reamer – Large,LOC-STOCK-01,59,0,59,each,95, 28 ,No,SUP-STRYKER,"GBP 7,796.85"
DIS-846967,INV-DISP-DISPOSABLE_REAMER_SMALL,Disposable Reamer – Small,LOC-STOCK-05,126,5, 121 , box ,76, 25 ,N,SUP-ARTHREX,"GBP 32,644.08"
 DIS-846967 ,INV-DISP-DISPOSABLE_REAMER_SMALL, Disposable Reamer – Small ,LOC-STOCK-04, 160 ,3,157,box,77,30,No,SUP-ARTHREX,"GBP 26,820.80"
 DIS-188030 ,INV-DISP-DISPOSABLE_SAW_BLADE_OSCILLATI,Disposable Saw Blade – Oscillating,LOC-STOCK-03,111,3, 108 ,pack,163,55,No,SUP-ARTHREX,"GBP 2,387.61"
DIS-188030,INV-DISP-DISPOSABLE_SAW_BLADE_OSCILLATI,Disposable Saw Blade – Oscillating,LOC-STOCK-02,65,5, 60 ,pack,109,32,No,SUP-ARTHREX,"GBP 7,760.35"
 DIS-602690 ,INV-DISP-DISPOSABLE_SAW_BLADE_RECIPROCA,Disposable Saw Blade – Reciprocating,LOC-STOCK-05, 69 , 4 ,65, box , 36 ,14,No,SUP-DEPUY,"GBP 4,752.03"
DIS-188030,INV-DISP-DISPOSABLE_SAW_BLADE_OSCILLATI,Disposable Saw Blade – Oscillating,LOC-STOCK-04,97, 1 , 96 ,pack,94,35,N,SUP-ARTHREX,"GBP 13,089.18"
DIS-188030,INV-DISP-DISPOSABLE_SAW_BLADE_OSCILLATI, Disposable Saw Blade – Oscillating ,LOC-STOCK-01,157,4,153,pack,105,44,No,SUP-ARTHREX,"GBP 43,934.88"
DIS-602690,INV-DISP-DISPOSABLE_SAW_BLADE_RECIPROCA,Disposable Saw Blade – Reciprocating,LOC-STOCK-02,84, 4 ,80,box,48,16,No,SUP-DEPUY,"GBP 18,161.64"
DIS-602690,INV-DISP-DISPOSABLE_SAW_BLADE_RECIPROCA,Disposable Saw Blade – Reciprocating,LOC-STOCK-01,43,3, 40 , box ,45,17,N,SUP-DEPUY,"GBP 12,010.33"
DIS-921586,INV-DISP-DISPOSABLE_TROCAR_SET,Disposable Trocar Set,LOC-STOCK-03, 129 , 2 ,127,pack,97,37,N,SUP-ARTHREX,"GBP 30,695.55"
 DIS-921586 ,INV-DISP-DISPOSABLE_TROCAR_SET,Disposable Trocar Set,LOC-STOCK-02,128, 2 , 126 ,pack, 16 , 7 ,No,SUP-ARTHREX,"GBP 26,272.00"
DIS-203017,INV-DISP-GUIDE_WIRE, Guide Wire ,LOC-STOCK-02, 98 ,2,96,box, 235 , 89 ,No,SUP-STRYKER,"GBP 11,992.26"
DIS-203017,INV-DISP-GUIDE_WIRE,Guide Wire,LOC-STOCK-01,126, 0 ,126,box, 11 ,4,No,SUP-STRYKER,"GBP 30,701.16"
DIS-203017,INV-DISP-GUIDE_WIRE,Guide Wire,LOC-STOCK-05,57,5,52,box,139,46,N,SUP-STRYKER,"GBP 6,373.17"
DIS-731650,INV-DISP-K_WIRE_1_6MM,K-wire 1.6mm,LOC-STOCK-02,43,3,40,each,162, 47 ,Y, SUP-ARTHREX ,"GBP 11,890.36"
DIS-265239,INV-DISP-K_WIRE_2_0MM,K-wire 2.0mm,LOC-STOCK-04,28, 5 ,23,each, 80 ,33,Yes,SUP-ARTHREX,"GBP 7,738.36"
 DIS-265239 ,INV-DISP-K_WIRE_2_0MM,K-wire 2.0mm,LOC-STOCK-02, 108 ,4,104, each ,129, 56 ,No,SUP-ARTHREX,"GBP 17,793.00"
DIS-505247,INV-DISP-PULSE_LAVAGE_TIP,Pulse Lavage Tip,LOC-STOCK-02, 153 , 7 ,146,each, 153 ,56,No,SUP-ARTHREX,"GBP 40,762.26"
DIS-505247,INV-DISP-PULSE_LAVAGE_TIP,Pulse Lavage Tip,LOC-STOCK-03,158,0,158,each, 139 ,38,No,SUP-ARTHREX,"GBP 36,670.22"
 DIS-505247 ,INV-DISP-PULSE_LAVAGE_TIP,Pulse Lavage Tip,LOC-STOCK-05,160,3,157,each,55,24,N,SUP-ARTHREX,"GBP 39,924.80"
DIS-614200,INV-DISP-SCALPEL_BLADE_15, Scalpel Blade #15 ,LOC-STOCK-04,50,1, 49 ,each, 13 ,5,No,SUP-DEPUY,"GBP 3,451.00"
DIS-614200,INV-DISP-SCALPEL_BLADE_15,Scalpel Blade #15,LOC-STOCK-02,137,2, 135 ,each, 70 , 21 ,N, SUP-DEPUY ,"GBP 27,594.54"
 DIS-614200 ,INV-DISP-SCALPEL_BLADE_15,Scalpel Blade #15,LOC-STOCK-05,144, 4 ,140,each, 13 ,5,No,SUP-DEPUY,"GBP 40,111.20"
DIS-614200,INV-DISP-SCALPEL_BLADE_15,Scalpel Blade #15,LOC-STOCK-01, 20 ,3, 17 ,each,132, 52 ,Yes,SUP-DEPUY,"GBP 2,228.60"
DIS-316847,INV-DISP-STEINMANN_PIN_3_0MM,Steinmann Pin 3.0mm,LOC-STOCK-03,122,5, 117 ,box,109,39,N,SUP-DEPUY,"GBP 4,327.34"
 DIS-316847 ,INV-DISP-STEINMANN_PIN_3_0MM,Steinmann Pin 3.0mm,LOC-STOCK-04, 78 , 4 , 74 , box , 56 , 16 ,N,SUP-DEPUY,"GBP 11,477.70"
 DIS-459987 ,INV-DISP-STEINMANN_PIN_4_0MM,Steinmann Pin 4.0mm,LOC-STOCK-01, 95 ,7, 88 ,each,153,49,N,SUP-DEPUY,"GBP 18,047.15"
 DIS-459987 ,INV-DISP-STEINMANN_PIN_4_0MM, Steinmann Pin 4.0mm ,LOC-STOCK-03,33,1,32,each,86,39,Y,SUP-DEPUY,"GBP 4,363.92"
DIS-213773,INV-DISP-SURGICAL_PATTIES, Surgical Patties ,LOC-STOCK-01,76,2,74,each,29,8,No,SUP-SN,"GBP 4,388.24"
DIS-213773,INV-DISP-SURGICAL_PATTIES,Surgical Patties,LOC-STOCK-04,106,3,103, each , 9 ,4,No,SUP-SN,"GBP 19,555.94"
 DIS-213773 ,INV-DISP-SURGICAL_PATTIES,Surgical Patties,LOC-STOCK-02, 23 ,3,20,each,187,52,Yes,SUP-SN,"GBP 5,884.55"
IMP-694980,INV-IMPL-1ST_MTP_FUSION_PLATE,1st MTP Fusion Plate,LOC-STOCK-05,27, 6 , 21 , each ,5,2,N,SUP-ARTHREX,"GBP 162,282.15"
IMP-694980,INV-IMPL-1ST_MTP_FUSION_PLATE,1st MTP Fusion Plate,LOC-STOCK-03,8,5,3,each,21, 8 ,Yes, SUP-ARTHREX ,"GBP 31,171.12"
IMP-694980,INV-IMPL-1ST_MTP_FUSION_PLATE,1st MTP Fusion Plate,LOC-STOCK-02,12, 0 ,12,each,16,5,N, SUP-ARTHREX ,"GBP 51,682.80"
IMP-326485,INV-IMPL-ANATOMIC_TIBIA_LOCKING_PLATE_S, Anatomic Tibia Locking Plate Set ,LOC-STOCK-01, 22 ,6,16,each,15,5,N,SUP-DEPUY,"GBP 40,292.56"
IMP-326485,INV-IMPL-ANATOMIC_TIBIA_LOCKING_PLATE_S,Anatomic Tibia Locking Plate Set,LOC-STOCK-04,12,0,12,each, 9 ,3,No, SUP-DEPUY ,"GBP 38,081.16"
IMP-326485,INV-IMPL-ANATOMIC_TIBIA_LOCKING_PLATE_S,Anatomic Tibia Locking Plate Set,LOC-STOCK-03,14, 5 ,9,each,2, 1 ,No,SUP-DEPUY,"GBP 61,155.36"
IMP-626119,INV-IMPL-CPCS_STEM,CPCS Stem,LOC-STOCK-03,25,1, 24 ,each,9,3,No,SUP-DEPUY,"GBP 138,563.75"
IMP-413366,INV-IMPL-CERAMIC_HEAD_COMPONENT,Ceramic Head Component,LOC-STOCK-05,9, 5 , 4 ,each,20, 5 ,Y, SUP-ARTHREX ,"GBP 9,034.92"
IMP-830775,INV-IMPL-COMPRESSION_SCREWS,Compression Screws,LOC-STOCK-01, 13 ,1, 12 ,each,2,1,N,SUP-DEPUY,"GBP 14,203.67"
IMP-830775,INV-IMPL-COMPRESSION_SCREWS,Compression Screws,LOC-STOCK-03,6,0, 6 ,each, 4 ,2,N,SUP-DEPUY,"GBP 36,292.50"
IMP-831196,INV-IMPL-CORTICAL_SCREWS,Cortical Screws,LOC-STOCK-05,14,3, 11 ,each, 2 ,1,No, SUP-STRYKER ,"GBP 5,273.52"
IMP-767536,INV-IMPL-DISTAL_FIBULA_PLATE_SET,Distal Fibula Plate Set,LOC-STOCK-02,16,5,11,each,9,2,N,SUP-SN,"GBP 85,820.00"
IMP-767536,INV-IMPL-DISTAL_FIBULA_PLATE_SET,Distal Fibula Plate Set,LOC-STOCK-05, 20 , 5 ,15,each,2, 1 ,N,SUP-SN,"GBP 119,657.00"
IMP-767536,INV-IMPL-DISTAL_FIBULA_PLATE_SET, Distal Fibula Plate Set ,LOC-STOCK-04,9,1, 8 , each ,3,1,No,SUP-SN,"GBP 25,995.42"
IMP-768112,INV-IMPL-FEMORAL_COMPONENT,Femoral Component,LOC-STOCK-05, 18 , 5 ,13, each ,16,4,No, SUP-DEPUY ,"GBP 19,075.32"
 IMP-768112 ,INV-IMPL-FEMORAL_COMPONENT,Femoral Component,LOC-STOCK-02,1, 1 ,0,each, 11 ,3,Y,SUP-DEPUY,"GBP 4,552.85"
IMP-103107,INV-IMPL-FEMORAL_STEM_COMPONENT,Femoral Stem Component,LOC-STOCK-03, 1 ,0, 1 ,each,16,6,Y,SUP-ARTHREX,"GBP 4,139.07"
IMP-103107,INV-IMPL-FEMORAL_STEM_COMPONENT,Femoral Stem Component,LOC-STOCK-04,17,5, 12 ,each,10,4,N,SUP-ARTHREX,"GBP 36,022.66"
IMP-103107,INV-IMPL-FEMORAL_STEM_COMPONENT,Femoral Stem Component,LOC-STOCK-05,10,5, 5 ,each,8, 2 ,N, SUP-ARTHREX ,"GBP 18,957.50"
IMP-748674,INV-IMPL-GLENOID_BASE_COMPONENT, Glenoid Base Component ,LOC-STOCK-05,11, 5 ,6, each ,12, 4 ,No,SUP-STRYKER,"GBP 69,084.18"
IMP-748674,INV-IMPL-GLENOID_BASE_COMPONENT, Glenoid Base Component ,LOC-STOCK-02,1,0,1,each, 2 ,1,Y,SUP-STRYKER,"GBP 2,669.77"
IMP-895066,INV-IMPL-GLENOSPHERE_COMPONENT,Glenosphere Component,LOC-STOCK-01,24, 6 ,18, each , 12 ,5,N,SUP-STRYKER,"GBP 146,774.16"
IMP-895066,INV-IMPL-GLENOSPHERE_COMPONENT,Glenosphere Component,LOC-STOCK-04, 9 , 0 ,9,each, 2 , 1 ,N,SUP-STRYKER,"GBP 46,546.11"
IMP-514173,INV-IMPL-HUMERAL_STEM_COMPONENT,Humeral Stem Component,LOC-STOCK-03, 6 , 2 ,4,each,11,4,Y, SUP-DEPUY ,"GBP 10,160.64"
IMP-241240,INV-IMPL-HUMERAL_TRAY,Humeral Tray,LOC-STOCK-01,2,0,2,each, 6 ,2,Y, SUP-SN ,"GBP 3,656.28"
IMP-241240,INV-IMPL-HUMERAL_TRAY, Humeral Tray ,LOC-STOCK-03,1,1,0,each, 5 ,1,Y,SUP-SN,"GBP 1,928.03"
IMP-241240,INV-IMPL-HUMERAL_TRAY, Humeral Tray ,LOC-STOCK-05,11,3,8,each,8,3,N, SUP-SN ,"GBP 36,782.35"
IMP-938826,INV-IMPL-INTRAMEDULLARY_FEMORAL_NAIL,Intramedullary Femoral Nail,LOC-STOCK-02,3,0,3,each,14,4,Y,SUP-ARTHREX,"GBP 14,830.14"
IMP-938826,INV-IMPL-INTRAMEDULLARY_FEMORAL_NAIL,Intramedullary Femoral Nail,LOC-STOCK-01,1,0,1,each, 8 , 3 ,Yes,SUP-ARTHREX,"GBP 5,234.42"
IMP-633470,INV-IMPL-LAG_SCREW_KIT,Lag Screw Kit,LOC-STOCK-04,14, 0 ,14,each, 2 ,1,No,SUP-STRYKER,"GBP 38,436.16"
IMP-633470,INV-IMPL-LAG_SCREW_KIT,Lag Screw Kit,LOC-STOCK-05, 2 ,1,1,each,5,2,Yes, SUP-STRYKER ,"GBP 12,114.98"
 IMP-751256 ,INV-IMPL-MALLEOLAR_SCREWS,Malleolar Screws,LOC-STOCK-04,14,3,11,each, 20 , 7 ,N,SUP-ARTHREX,"GBP 18,359.46"
IMP-751256,INV-IMPL-MALLEOLAR_SCREWS,Malleolar Screws,LOC-STOCK-03,17,2, 15 ,each,10,3,N,SUP-ARTHREX,"GBP 76,760.61"
IMP-751256,INV-IMPL-MALLEOLAR_SCREWS,Malleolar Screws,LOC-STOCK-02,17, 0 ,17,each,4,2,N,SUP-ARTHREX,"GBP 65,827.74"
IMP-994358,INV-IMPL-POLYETHYLENE_INSERT,Polyethylene Insert,LOC-STOCK-02,11, 1 ,10,each,7,2,No,SUP-SN,"GBP 14,738.57"
IMP-739782,INV-IMPL-R3_ACETABULAR_CUP_COMPONENT,R3 Acetabular Cup Component,LOC-STOCK-01, 18 ,5,13,each, 2 ,1,No,SUP-SN,"GBP 67,147.92"
 IMP-739782 ,INV-IMPL-R3_ACETABULAR_CUP_COMPONENT,R3 Acetabular Cup Component,LOC-STOCK-05, 6 ,2,4, each ,14, 6 ,Yes,SUP-SN,"GBP 6,831.12"
 IMP-739782 ,INV-IMPL-R3_ACETABULAR_CUP_COMPONENT, R3 Acetabular Cup Component ,LOC-STOCK-02,2, 1 , 1 , each ,14,5,Yes, SUP-SN ,"GBP 4,738.66"
IMP-319009,INV-IMPL-SUTURETAPE_ANCHORS,SutureTape Anchors,LOC-STOCK-04,10,2,8,each,13,4,N,SUP-SN,"GBP 18,639.80"
IMP-319009,INV-IMPL-SUTURETAPE_ANCHORS, SutureTape Anchors ,LOC-STOCK-03,8, 3 , 5 ,each,8,3,No,SUP-SN,"GBP 25,572.16"
IMP-576685,INV-IMPL-SWIVELOCK_ANCHORS, SwiveLock Anchors ,LOC-STOCK-03, 2 ,2,0,each,14,4,Y, SUP-ARTHREX ,"GBP 3,116.12"
IMP-576685,INV-IMPL-SWIVELOCK_ANCHORS,SwiveLock Anchors,LOC-STOCK-05,14,3,11,each,21,5,No,SUP-ARTHREX,"GBP 71,128.12"
IMP-576685,INV-IMPL-SWIVELOCK_ANCHORS, SwiveLock Anchors ,LOC-STOCK-04,17, 2 ,15,each,21,9,No, SUP-ARTHREX ,"GBP 46,985.62"
IMP-320487,INV-IMPL-TENODESIS_SCREW,Tenodesis Screw,LOC-STOCK-05,5,1,4, each ,16,6,Y, SUP-ARTHREX ,"GBP 7,258.70"
IMP-320487,INV-IMPL-TENODESIS_SCREW,Tenodesis Screw,LOC-STOCK-03,15, 3 ,12,each,7,2,No,SUP-ARTHREX,"GBP 26,628.90"
IMP-835265,INV-IMPL-TIBIAL_BASEPLATE,Tibial Baseplate,LOC-STOCK-03,32,7,25,each,3, 1 ,N, SUP-ARTHREX ,"GBP 184,689.28"
IMP-747591,INV-IMPL-TRAPEZIATOME_SPACER,Trapeziatome Spacer,LOC-STOCK-05,2,0,2, each ,19,8,Y,SUP-ARTHREX,"GBP 7,051.38"
IMP-747591,INV-IMPL-TRAPEZIATOME_SPACER,Trapeziatome Spacer,LOC-STOCK-02,5, 5 , 0 ,each,25,9,Y,SUP-ARTHREX,"GBP 8,833.15"
 IMP-747591 ,INV-IMPL-TRAPEZIATOME_SPACER, Trapeziatome Spacer ,LOC-STOCK-04,15,5, 10 ,each,5, 1 ,N,SUP-ARTHREX,"GBP 82,127.85"
SUT-956961,INV-SUTU-CLIPS,Clips,LOC-STOCK-02, 26 ,4, 22 ,box, 10 , 3 ,No,SUP-NHS-SUPPLY,GBP 171.60
SUT-806562,INV-SUTU-ETHIBOND_EXCEL_2, Ethibond Excel #2 ,LOC-STOCK-05,29, 4 ,25,box,20,8,No,SUP-SN,"GBP 1,634.15"
SUT-924162,INV-SUTU-ETHIBOND_EXCEL_5,Ethibond Excel #5,LOC-STOCK-04,83, 1 ,82,box,41, 13 ,N,SUP-NHS-SUPPLY,"GBP 1,347.92"
SUT-924162,INV-SUTU-ETHIBOND_EXCEL_5,Ethibond Excel #5,LOC-STOCK-05,29,4,25,box,19,7,No, SUP-NHS-SUPPLY ,GBP 540.85
SUT-924162,INV-SUTU-ETHIBOND_EXCEL_5,Ethibond Excel #5,LOC-STOCK-02,14,3,11,box,20,8,No,SUP-NHS-SUPPLY,GBP 161.98
SUT-994297,INV-SUTU-ETHILON_3_0,Ethilon 3-0,LOC-STOCK-02,85,8,77,box, 51 ,19,N,SUP-NHS-SUPPLY,"GBP 3,110.15"
SUT-994297,INV-SUTU-ETHILON_3_0,Ethilon 3-0,LOC-STOCK-01, 132 , 5 , 127 ,box,14, 5 ,N,SUP-NHS-SUPPLY,"GBP 3,623.40"
SUT-889284,INV-SUTU-ETHILON_4_0,Ethilon 4-0,LOC-STOCK-03,58,0, 58 ,box,68,29,N, SUP-UNISURGE ,"GBP 2,461.52"
 SUT-889284 ,INV-SUTU-ETHILON_4_0,Ethilon 4-0,LOC-STOCK-04,6,1,5,box,109,31,Y, SUP-UNISURGE ,GBP 247.80
 SUT-889284 ,INV-SUTU-ETHILON_4_0, Ethilon 4-0 ,LOC-STOCK-05,60, 2 ,58, box ,26, 8 ,No,SUP-UNISURGE,"GBP 3,014.40"
SUT-133813,INV-SUTU-FIBERTAPE_2MM,FiberTape 2mm,LOC-STOCK-02,77,9, 68 ,box,82,22,N, SUP-UNISURGE ,"GBP 3,575.11"
SUT-133813,INV-SUTU-FIBERTAPE_2MM,FiberTape 2mm,LOC-STOCK-03,67,4,63,box,97, 30 ,No,SUP-UNISURGE,"GBP 1,535.64"
SUT-455452,INV-SUTU-FIBERWIRE_2,FiberWire #2,LOC-STOCK-05,76,5,71, box ,78, 30 ,N,SUP-UNISURGE,"GBP 3,215.56"
 SUT-455452 ,INV-SUTU-FIBERWIRE_2,FiberWire #2,LOC-STOCK-02,17, 4 ,13,box,40, 16 ,Yes, SUP-UNISURGE ,GBP 472.43
SUT-455452,INV-SUTU-FIBERWIRE_2,FiberWire #2,LOC-STOCK-01, 165 ,4, 161 ,box, 56 ,18,N,SUP-UNISURGE,"GBP 8,957.85"
SUT-887676,INV-SUTU-FIBERWIRE_5,FiberWire #5,LOC-STOCK-03,72,0, 72 , box , 77 ,23,No,SUP-ARTHREX,"GBP 3,343.68"
 SUT-887676 ,INV-SUTU-FIBERWIRE_5,FiberWire #5,LOC-STOCK-01, 27 , 1 ,26,box,30, 8 ,N,SUP-ARTHREX,"GBP 1,067.58"
 SUT-491334 ,INV-SUTU-MONOCRYL_3_0,Monocryl 3-0,LOC-STOCK-04, 120 ,1,119,box,38,11,N,SUP-UNISURGE,"GBP 3,864.00"
SUT-491334,INV-SUTU-MONOCRYL_3_0,Monocryl 3-0,LOC-STOCK-05,77, 2 , 75 ,box, 48 ,17,N, SUP-UNISURGE ,"GBP 4,315.08"
 SUT-698312 ,INV-SUTU-MONOCRYL_4_0,Monocryl 4-0,LOC-STOCK-03,43,4,39,box, 50 ,19,N,SUP-ARTHREX,"GBP 2,394.24"
 SUT-365867 ,INV-SUTU-MONOCRYL_5_0,Monocryl 5-0,LOC-STOCK-05,54, 1 , 53 ,box,82,22,No,SUP-NHS-SUPPLY,"GBP 2,431.08"
SUT-365867,INV-SUTU-MONOCRYL_5_0, Monocryl 5-0 ,LOC-STOCK-04, 55 ,6,49,box,10,4,No, SUP-NHS-SUPPLY ,GBP 446.05
SUT-566420,INV-SUTU-NYLON_3_0, Nylon 3-0 ,LOC-STOCK-01, 49 ,1,48, box , 39 ,14,N,SUP-ZIMMER,"GBP 1,470.00"
 SUT-566420 ,INV-SUTU-NYLON_3_0,Nylon 3-0,LOC-STOCK-04, 30 , 1 , 29 , box , 9 , 3 ,N,SUP-ZIMMER,GBP 512.10
 SUT-566420 ,INV-SUTU-NYLON_3_0,Nylon 3-0,LOC-STOCK-05,37,1, 36 ,box,30,9,N,SUP-ZIMMER,"GBP 1,708.29"
SUT-765664,INV-SUTU-NYLON_4_0, Nylon 4-0 ,LOC-STOCK-01,75, 3 ,72,box,66, 23 ,No,SUP-UNISURGE,"GBP 1,827.00"
SUT-765664,INV-SUTU-NYLON_4_0, Nylon 4-0 ,LOC-STOCK-02, 68 , 4 , 64 ,box,73,24,N,SUP-UNISURGE,"GBP 1,325.32"
 SUT-765664 ,INV-SUTU-NYLON_4_0,Nylon 4-0,LOC-STOCK-04,60, 0 ,60, box ,16, 4 ,N, SUP-UNISURGE ,"GBP 1,882.80"
SUT-765664,INV-SUTU-NYLON_4_0, Nylon 4-0 ,LOC-STOCK-05,21,2, 19 ,box,48, 17 ,No,SUP-UNISURGE,GBP 868.77
 SUT-820698 ,INV-SUTU-PDS_II_0,PDS II 0,LOC-STOCK-03, 131 , 3 ,128, box , 48 ,15,No,SUP-NHS-SUPPLY,"GBP 1,900.81"
 SUT-456828 ,INV-SUTU-PDS_II_1,PDS II 1,LOC-STOCK-04,66, 4 ,62,box,16,7,No,SUP-UNISURGE,GBP 760.32
 SUT-456828 ,INV-SUTU-PDS_II_1,PDS II 1,LOC-STOCK-02,40, 3 , 37 ,box,16, 7 ,N,SUP-UNISURGE,"GBP 2,012.40"
SUT-498087,INV-SUTU-PDS_II_2_0,PDS II 2-0,LOC-STOCK-05,38, 0 ,38,box,33,11,N,SUP-UNISURGE,GBP 980.78
SUT-498087,INV-SUTU-PDS_II_2_0,PDS II 2-0,LOC-STOCK-01, 66 ,5,61,box,54,15,N,SUP-UNISURGE,"GBP 1,478.40"
SUT-498087,INV-SUTU-PDS_II_2_0, PDS II 2-0 ,LOC-STOCK-03,38,3, 35 ,box, 17 ,6,N,SUP-UNISURGE,GBP 417.62
SUT-582540,INV-SUTU-PROLENE_3_0,Prolene 3-0,LOC-STOCK-02,74,2, 72 ,box,57, 24 ,N,SUP-UNISURGE,"GBP 1,739.00"
SUT-582540,INV-SUTU-PROLENE_3_0,Prolene 3-0,LOC-STOCK-01,63,4,59,box,55, 23 ,N, SUP-UNISURGE ,"GBP 1,249.29"
SUT-425320,INV-SUTU-PROLENE_4_0,Prolene 4-0,LOC-STOCK-04, 49 , 4 ,45,box,83,23,No,SUP-STRYKER,"GBP 1,718.92"
SUT-425320,INV-SUTU-PROLENE_4_0,Prolene 4-0,LOC-STOCK-03,46,2, 44 ,box,19, 9 ,No,SUP-STRYKER,"GBP 1,955.46"
SUT-166801,INV-SUTU-SUTURETAPE_1_3MM,SutureTape 1.3mm,LOC-STOCK-05,52, 3 ,49,box,39, 10 ,N,SUP-NHS-SUPPLY,"GBP 1,385.80"
SUT-166801,INV-SUTU-SUTURETAPE_1_3MM,SutureTape 1.3mm,LOC-STOCK-01,38,1,37,box,93, 33 ,N,SUP-NHS-SUPPLY,GBP 978.12
SUT-166801,INV-SUTU-SUTURETAPE_1_3MM,SutureTape 1.3mm,LOC-STOCK-04, 9 ,0,9,box,99, 25 ,Yes,SUP-NHS-SUPPLY,GBP 90.54
SUT-166801,INV-SUTU-SUTURETAPE_1_3MM,SutureTape 1.3mm,LOC-STOCK-03,55, 1 ,54,box, 32 , 13 ,No,SUP-NHS-SUPPLY,"GBP 2,417.80"
SUT-633543,INV-SUTU-TI_CRON_2, Ti-Cron #2 ,LOC-STOCK-01,27,5, 22 ,box,11,3,No,SUP-UNISURGE,GBP 636.93
SUT-633543,INV-SUTU-TI_CRON_2,Ti-Cron #2,LOC-STOCK-03, 75 , 3 , 72 ,box,76,29,N, SUP-UNISURGE ,GBP 879.75
SUT-576020,INV-SUTU-TIGERWIRE_2,TigerWire #2,LOC-STOCK-04,95, 7 ,88,box,55, 20 ,N, SUP-UNISURGE ,"GBP 3,677.45"
